Group	Time	min.rec	spat.scale	cell	trait.g	pre.rec	pre.sps	pre.ratio	post.rec	post.sps	post.ratio	pre.raref	pre.95.low	pre.95.up	post.raref	post.95.low	post.95.up	status.change	perc.change	perc.95low	perc.95up	change.CI.span	pre.Mao.tau_int	pre.Mao.SD_int	pre.singletons	pre.tau.mean_int	pre.tauSD.mean_int	pre.singletons.mean_int	post.Mao.tau_int	post.Mao.SD_int	post.singletons	post.tau.mean_int	post.tauSD.mean_int	post.singletons.mean_int	Change.Mao_int	Change.Mao_int_CIlow	Change.Mao_int_CIup	Change.Mao_int_CIspan	Int_Pvalue	status.change.Mao_int	pre.Mao.tau_extr	pre.Mao.SD_extr	pre.singletons	pre.tau.mean_extr	pre.tauSD.mean_extr	pre.singletons.mean_extr	post.Mao.tau_extr	post.Mao.SD_extr	post.singletons	post.tau.mean_extr	post.tauSD.mean_extr	post.singletons.mean_extr	Change.Mao_extr	Change.Mao_extr_CIlow	Change.Mao_extr_CIup	Change.Mao_extr_CIspan	Extr_Pvalue	status.change.Mao_extr	pre.Mao.tau_extr_3x	pre.Mao.SD_extr_3x	pre.singletons	pre.tau.mean_extr_3x	pre.tauSD.mean_extr_3x	pre.singletons.mean_extr_3x	post.Mao.tau_extr_3x	post.Mao.SD_extr_3x	post.singletons	post.tau.mean_extr_3x	post.tauSD.mean_extr_3x	post.singletons.mean_extr_3x	Change.Mao_extr_3x	Change.Mao_extr_3x_CIlow	Change.Mao_extr_3x_CIup	Change.Mao_extr_3x_CIspan	Extr.3x_Pvalue	status.change.Mao_extr_3x
Plants	70-89vs90-09	42	G10	110500	insect_Nlow	52	9	5.78	134	14	9.57	9	9	9	10.9112	8.5246	13.2978	no.change	21.236	-5.282	47.753	53.035	9	0.9487	2	7.88	0.555	1.42	10.9112	1.4032	3	10.2169	1.1086	1.93	21.23555556	-6.679144816	54.87334256	61.55248738	4.01E-37	no.change	9.9599	1.7155	2	8.7288	1.2398	1.29	14	1.3923	3	12.51	0.9643	2.1	40.56366028	4.897231302	100.8619899	95.96475857	3.75E-55	increase	9	0.9487	2	7.88	0.555	1.42	10.9112	1.4032	3	10.2169	1.1086	1.93	40.56366028	4.897231302	100.8619899	95.96475857	3.75E-55	increase
Plants	70-89vs90-09	42	G10	210600	insect_Nlow	54	7	7.71	217	13	16.69	7	7	7	9.1953	6.7911	11.5994	no.change	31.361	-2.984	65.706	68.69	7	0.6831	1	6.43	0.3996	1.01	9.1953	1.253	2	8.825	1.244	1.81	31.36142857	-6.810725682	72.61064555	79.42137123	1.92E-27	no.change	7.4989	1.3133	1	6.8944	0.8692	1.07	13	0.9636	2	12	0.9585	1.72	73.35875928	30.96311753	135.598313	104.6351955	1.68E-96	increase	7.4915	1.2677	1	7.0678	1.0247	1.01	12.3313	0.9686	2	11.4073	0.8407	1.67	64.6038844	24.03032993	147.6303491	123.6000192	2.72E-88	increase
Plants	70-89vs90-09	42	G10	210590	insect_Nlow	167	10	16.7	125	10	12.5	8.9932	7.307	10.6793	10	10	10	no.change	11.195	36.855	-6.361	43.216	8.9932	1.7845	4	8.1559	0.8462	1.38	10	1.291	2	9.16	0.4466	1.02	11.19512521	-9.684764787	47.03798311	56.7227479	6.75E-14	no.change	10	1.9365	4	8.56	0.7946	1.5	10.5727	1.4163	2	9.2482	0.5549	1.02	5.727	-13.58574189	32.77206188	46.35780377	4.92E-05	no.change	8.9932	1.7845	4	8.1559	0.8462	1.38	10	1.291	2	9.16	0.4466	1.02	5.727	-13.58574189	32.77206188	46.35780377	4.92E-05	no.change
Plants	70-89vs90-09	42	G10	210570	insect_Nhigh	542	11	49.27	432	10	43.2	10.9179	10.3682	11.4676	10	10	10	decrease	-8.407	-3.551	-12.798	9.247	10.9179	0.0523	0	10.5646	0.2443	0.49	10	0	0	9.84	0.1151	0.49	-8.407294443	-12.81921737	-3.40229404	9.416923331	3.83E-73	decrease	11	0	0	10.82	0.2109	0.56	10	0	0	9.8876	0.1277	0.38	-9.090909091	-13.16680683	-4.549061312	8.617745517	6.12E-101	decrease	10.9179	0.0523	0	10.5646	0.2443	0.49	10	0	0	9.84	0.1151	0.49	-9.090909091	-13.16680683	-4.549061312	8.617745517	6.12E-101	decrease
Plants	70-89vs90-09	42	G10	220570	insect_Nhigh	949	14	67.79	797	12	66.42	13.9743	13.664	14.2846	12	12	12	decrease	-14.128	-12.178	-15.993	3.815	13.9743	0.0246	0	13.7807	0.1034	0.38	12	0	1	11.54	0.1719	0.58	-14.12807797	-16.98344432	-11.30377653	5.679667791	2.19E-152	decrease	14	0	0	13.89	0.061	0.29	12	0	1	11.6181	0.1493	0.57	-14.28571429	-16.47429271	-12.11605604	4.358236674	8.56E-137	decrease	13.9743	0.0246	0	13.7807	0.1034	0.38	12	0	1	11.54	0.1719	0.58	-14.28571429	-16.47429271	-12.11605604	4.358236674	8.56E-137	decrease
Plants	70-89vs90-09	42	G10	220450	insect_Nhigh	339	10	33.9	1967	18	109.28	10	10	10	14.0494	11.6775	16.4212	increase	40.494	16.775	64.212	47.437	10	0	0	9.87	0	0.23	14.0494	1.644	2	13.8175	1.2886	1.17	40.494	13.85915918	66.25795265	52.39879347	4.24E-48	increase	10	0	0	9.91	0.0264	0.27	18	1.3416	2	17.01	0.5345	1.07	80	69.1987945	91.51135167	22.31255717	3.85E-115	increase	10	0	0	9.81	0	0.24	16.6507	1.4047	2	16.0433	0.8151	1.2	66.507	51.22996659	81.95786646	30.72789987	5.71E-91	increase
Plants	70-89vs90-09	42	G10	170480	insect_Nhigh	709	13	54.54	390	14	27.86	12.5553	11.3786	13.7319	14	14	14	increase	11.507	23.038	1.952	21.086	12.5553	0.261	0	12.2097	0.4724	0.65	14	2.0494	4	12.57	0.9342	1.55	11.50669438	-6.090628273	29.93239088	36.02301916	1.08E-20	no.change	13	0	0	12.71	0.1894	0.71	16.5236	3.1659	4	13.2676	1.2415	1.5	27.10461538	5.009600936	51.44640579	46.43680485	1.36E-42	increase	12.5553	0.261	0	12.2097	0.4724	0.65	14	2.0494	4	12.57	0.9342	1.55	27.10461538	5.009600936	51.44640579	46.43680485	1.36E-42	increase
Plants	70-89vs90-09	42	G10	250440	insect_Nhigh	268	11	24.36	408	13	31.38	11	11	11	11.6229	9.7644	13.4815	no.change	5.663	-11.233	22.559	33.792	11	0.9574	2	10.3	0.2595	0.81	11.6229	1.8991	4	10.8683	0.9049	1.52	5.662727273	-11.52615287	23.86493295	35.39108582	2.97E-06	no.change	11.6496	1.3346	2	10.3723	0.3686	0.75	13	2.0261	4	11.47	0.6793	1.55	11.59181431	-2.726510133	28.26316985	30.98967998	1.47E-33	no.change	11	0.9574	2	10.3	0.2595	0.81	11.6229	1.8991	4	10.8683	0.9049	1.52	11.59181431	-2.726510133	28.26316985	30.98967998	1.47E-33	no.change
Plants	70-89vs90-09	42	G10	150420	insect_Nhigh	361	20	18.05	962	20	48.1	20	20	20	16.4311	13.8581	19.0041	decrease	-17.844	-30.71	-4.979	25.731	20	3.4157	8	16.94	1.4503	3.35	16.4311	2.2459	4	15.7992	1.3052	2.11	-17.8445	-34.44178824	4.517257549	38.95904579	8.11E-41	no.change	30.602	8.4719	8	19.4626	3.0523	3.21	20	2.3905	4	18.32	1.0701	1.88	-34.64479446	-52.41407118	-5.30974327	47.10432791	1.80E-42	decrease	20	3.4157	8	16.94	1.4503	3.35	16.4311	2.2459	4	15.7992	1.3052	2.11	-34.64479446	-52.41407118	-5.30974327	47.10432791	1.80E-42	decrease
Plants	70-89vs90-09	42	G10	240550	insect_Nhigh	763	13	58.69	940	16	58.75	13	13	13	15.2047	13.625	16.7844	increase	16.959	4.808	29.111	24.303	13	0	1	12.62	0.0347	0.35	15.2047	2.2181	4	13.8961	0.9828	1.8	16.95923077	-1.468912136	32.71570161	34.18461375	1.04E-44	no.change	13	0	1	12.743	0.0473	0.46	16	2.3094	4	14.43	1.1651	1.85	23.07692308	4.013784544	41.60092855	37.58714401	1.35E-35	increase	13	0	1	12.62	0.0347	0.35	15.2047	2.2181	4	13.8961	0.9828	1.8	23.07692308	4.013784544	41.60092855	37.58714401	1.35E-35	increase
Plants	70-89vs90-09	42	G10	100390	insect_Nhigh	65	8	8.12	62	4	15.5	7.9971	7.8916	8.1026	4	4	4	decrease	-49.982	-49.313	-50.633	1.32	7.9971	0.0018	0	7.5368	0.2832	0.67	4	0	0	3.98	0	0.05	-49.98186843	-53.18953298	-46.03848334	7.15104964	7.02E-114	decrease	8	0	0	7.69	0.3948	0.77	4	0	0	3.98	0	0.09	-50	-54.39205534	-44.96073922	9.431316128	2.87E-98	decrease	7.9971	0.0018	0	7.5368	0.2832	0.67	4	0	0	3.98	0	0.05	-50	-54.39205534	-44.96073922	9.431316128	2.87E-98	decrease
Plants	70-89vs90-09	42	G10	190480	insect_Nhigh	269	12	22.42	884	14	63.14	12	12	12	11.6388	9.8332	13.4444	no.change	-3.01	-18.057	12.037	30.094	12	1.3093	2	11.07	0.6231	1.21	11.6388	1.6785	3	11.47	1.0118	1.23	-3.01	-21.84633648	20.03232782	41.87866429	0.082697889	no.change	13.7976	2.9676	2	11.5854	1.1258	1.06	14	1.5718	3	12.92	0.5886	1.14	1.466921783	-16.98152932	29.37702705	46.35855637	0.529577524	no.change	13.7303	2.8008	2	11.8009	1.2368	1.14	13.7386	1.5483	3	12.8055	0.5829	1.29	0.060450245	-18.31126437	26.98165012	45.29291449	0.084070872	no.change
Plants	70-89vs90-09	42	G10	190500	insect_Nhigh	282	13	21.69	850	18	47.22	13	13	13	15.161	12.8348	17.4872	no.change	16.623	-1.271	34.517	35.788	13	0.7963	2	11.86	0.7816	1.54	15.161	1.2797	2	14.6872	1.1514	1.51	16.62307692	-5.713996004	42.82602839	48.5400244	3.00E-38	no.change	13.6651	1.2971	2	13.1162	1.8127	1.61	18	0.9733	2	16.92	0.7545	1.73	31.72241696	3.200436678	85.1106631	81.91022642	7.58E-62	increase	13.6651	1.2968	2	12.8484	1.6232	1.69	17.9906	0.9728	2	17.0034	0.7482	1.46	31.65362859	3.236536919	81.52654031	78.29000339	8.14E-51	increase
Plants	70-89vs90-09	42	G10	160430	insect_Nhigh	608	17	35.76	612	19	32.21	17	17	17	18.9804	18.707	19.2537	increase	11.649	10.041	13.257	3.216	17	1.8863	3	15.56	0.7218	1.65	18.9804	1.9055	3	17.7271	1.0166	1.78	11.64941176	-3.07705006	28.40367358	31.48072364	8.63E-33	no.change	17.0197	1.8842	3	15.5886	0.7376	1.59	19	1.9074	3	17.71	0.8713	1.67	11.63534022	-2.443608185	28.10995869	30.55356687	7.23E-35	no.change	17	1.8863	3	15.56	0.7218	1.65	18.9804	1.9055	3	17.7271	1.0166	1.78	11.63534022	-2.443608185	28.10995869	30.55356687	7.23E-35	no.change
Plants	70-89vs90-09	42	G10	230550	insect_Nhigh	914	13	70.31	815	16	50.94	12.9883	12.778	13.1987	16	16	16	increase	23.188	25.215	21.224	3.991	12.9883	0.0112	0	12.8221	0.0663	0.27	16	1.4045	3	14.58	0.9406	2.06	23.18779209	6.551426249	40.56689669	34.01547044	2.69E-52	increase	13	0	0	12.86	0.0901	0.32	16.3367	1.4363	3	14.7244	0.9946	1.81	25.66692308	8.606890732	40.84292705	32.23603632	5.81E-55	increase	12.9883	0.0112	0	12.8221	0.0663	0.27	16	1.4045	3	14.58	0.9406	2.06	25.66692308	8.606890732	40.84292705	32.23603632	5.81E-55	increase
Plants	70-89vs90-09	42	G10	190470	insect_Nhigh	136	11	12.36	523	12	43.58	11	11	11	10.0222	8.041	12.0035	no.change	-8.889	-26.9	9.123	36.023	11	1.3009	2	10.03	0.5834	1.21	10.0222	0.7824	1	9.7448	0.8655	0.72	-8.889090909	-26.55778363	12.13339951	38.69118314	2.28E-14	no.change	12.885	3.2259	2	10.9949	1.443	1.16	12	0	1	11.5	0.3172	0.64	-6.868451688	-26.18305191	25.9697363	52.15278822	1.25E-06	no.change	12.7313	2.8024	2	10.8134	1.3566	1.37	11.7647	0.2094	1	11.3108	0.3577	0.62	-7.592311861	-26.45309445	22.09299388	48.54608833	3.31E-07	no.change
Plants	70-89vs90-09	42	G10	190390	insect_Nhigh	52	10	5.2	55	8	6.88	10	10	10	7.9414	7.4803	8.4025	decrease	-20.586	-25.197	-15.975	9.222	10	0.9535	2	9.12	0.8054	1.45	7.9414	0.4914	1	7.298	0.5251	1.1	-20.586	-36.63231673	-0.419042089	36.21327464	2.36E-44	decrease	10.111	0.9507	2	9.0333	0.6907	1.54	8	0.4924	1	7.28	0.4842	1.02	-20.87825141	-34.52940726	-5.314372406	29.21503485	2.67E-61	decrease	10	0.9535	2	9.12	0.8054	1.45	7.9414	0.4914	1	7.298	0.5251	1.1	-20.87825141	-34.52940726	-5.314372406	29.21503485	2.67E-61	decrease
Plants	70-89vs90-09	42	G10	190430	insect_Nhigh	565	22	25.68	1803	23	78.39	22	22	22	19.6147	17.2849	21.9446	decrease	-10.842	-21.432	-0.252	21.18	22	1.6248	3	20.68	0.824	1.73	19.6147	1.7199	3	19.2037	1.2901	1.74	-10.84227273	-23.47684226	3.191295287	26.66813755	1.22E-31	no.change	24.6653	3.6749	3	22.0767	1.9962	1.81	23	1.4316	3	21.51	0.9811	1.88	-6.751590291	-23.61552824	16.35526712	39.97079536	1.21E-08	no.change	24.5947	3.5412	3	21.9899	1.7993	1.67	22.813	1.4232	3	21.5531	1.0393	1.77	-7.244243679	-22.21694507	13.32080971	35.53775478	1.28E-12	no.change
Plants	70-89vs90-09	42	G10	200480	insect_Nhigh	192	15	12.8	948	15	63.2	15	15	15	11.7684	9.7205	13.8164	decrease	-21.544	-35.197	-7.891	27.306	15	1.8605	3	13.79	0.8228	1.86	11.7684	1.4166	2	11.5679	1.1868	1.2	-21.544	-38.78803384	-2.343724751	36.44430909	3.74E-49	decrease	19.1755	5.8741	3	14.9971	2.1829	1.58	15	0.9682	2	14.12	0.7171	1.17	-21.77518187	-40.22529264	9.904298162	50.1295908	4.89E-21	no.change	18.3166	4.0749	3	14.7208	1.6659	1.8	13.907	1.0399	2	13.1737	0.762	1.19	-24.07433694	-42.01666571	0.031110838	42.04777655	2.56E-38	no.change
Plants	70-89vs90-09	42	G10	220540	insect_Nhigh	557	12	46.42	192	12	16	11.2877	10.2513	12.3242	12	12	12	no.change	6.31	17.058	-2.631	19.689	11.2877	0.6243	1	11.1837	0.3744	0.43	12	1.8091	3	10.86	0.8744	1.6	6.310408675	-11.80445406	24.09721616	35.90167022	1.37E-09	no.change	12	0	1	11.61	0.0069	0.37	15.2357	3.9641	3	11.4791	1.4819	1.61	26.96416667	-6.951825755	61.45197706	68.40380281	4.45E-28	no.change	11.2877	0.6243	1	11.1837	0.3744	0.43	12	1.8091	3	10.86	0.8744	1.6	26.96416667	-6.951825755	61.45197706	68.40380281	4.45E-28	no.change
Plants	70-89vs90-09	42	G10	220510	insect_Nhigh	1840	13	141.54	156	10	15.6	11.3969	9.3888	13.405	10	10	10	no.change	-12.257	6.51	-25.401	31.911	11.3969	0.5752	0	11.3252	0.6209	0.02	10	0	1	9.59	0.1189	0.51	-12.25684177	-20.72487385	-2.061021174	18.66385268	3.14E-44	decrease	13	0	0	13	0	0	10	0	1	9.6925	0.3277	0.48	-23.07692308	-28.65443439	-18.14297689	10.5114575	1.48E-94	decrease	12.8235	0.1244	0	12.7346	0.1831	0	10	0	1	9.6756	0.2546	0.65	-22.01816977	-26.45899892	-17.35665509	9.102343829	1.11E-141	decrease
Plants	70-89vs90-09	42	G10	90470	insect_Nhigh	2653	22	120.59	1469	16	91.81	20.3199	18.3074	22.3324	16	16	16	decrease	-21.259	-12.604	-28.355	15.751	20.3199	1.6575	3	19.4664	1.0021	1.68	16	1.5894	3	14.83	0.6255	1.12	-21.25945502	-31.4177084	-10.58205331	20.83565509	1.53E-80	decrease	22	1.6248	3	20.74	0.8745	1.64	17.6604	2.3584	3	15.6281	1.0399	1.19	-19.72545455	-31.51880961	-7.820120444	23.69868917	1.17E-73	decrease	20.3199	1.6575	3	19.4664	1.0021	1.68	16	1.5894	3	14.83	0.6255	1.12	-19.72545455	-31.51880961	-7.820120444	23.69868917	1.17E-73	decrease
Plants	70-89vs90-09	42	G10	110420	insect_Nhigh	2914	16	182.12	2575	16	160.94	15.9996	15.9624	16.0369	16	16	16	no.change	0.003	0.236	-0.23	0.466	15.9996	2.00E-04	0	15.9276	0.044	0.14	16	1.3333	2	15.04	0.7399	1.4	0.002500063	-10.10126167	10.50560515	20.60686682	0.911025621	no.change	16	0	0	15.94	0.0209	0.17	16.2468	1.3447	2	15.0559	0.6617	1.2	1.5425	-6.899311926	10.27439382	17.17370575	0.002097663	no.change	15.9996	2.00E-04	0	15.9276	0.044	0.14	16	1.3333	2	15.04	0.7399	1.4	1.5425	-6.899311926	10.27439382	17.17370575	0.002097663	no.change
Plants	70-89vs90-09	42	G10	220460	insect_Nhigh	307	13	23.62	1411	17	83	13	13	13	13.9687	11.8138	16.1235	no.change	7.452	-9.125	24.027	33.152	13	2.2254	4	11.43	0.9582	1.82	13.9687	1.5742	2	13.7523	1.0619	1	7.451538462	-14.22873915	36.63124936	50.85998851	1.61E-08	no.change	19.677	7.6313	4	12.7419	2.2985	1.91	17	1.3377	2	16.14	0.5219	1.18	-13.60471617	-36.75145928	37.617178	74.36863728	2.09E-11	no.change	18.0594	5.1887	4	12.688	1.9869	1.88	16.1688	1.3543	2	15.6573	0.6224	1.21	-10.46878634	-32.64149399	27.73098454	60.37247852	1.10E-07	no.change
Plants	70-89vs90-09	42	G10	200460	insect_Nhigh	497	18	27.61	990	19	52.11	18	18	18	17.17	15.052	19.288	no.change	-4.611	-16.378	7.156	23.534	18	0.6975	1	17.46	0.4246	0.88	17.17	1.1195	2	16.3134	0.9816	1.53	-4.611111111	-16.73067186	8.262728551	24.99340041	2.01E-13	no.change	18.4315	1.0578	1	17.9156	0.6796	1.02	19	0.9747	2	17.95	0.8097	1.59	3.084393565	-8.37444424	15.77497637	24.14942061	3.31E-07	no.change	18	0.6975	1	17.46	0.4246	0.88	17.17	1.1195	2	16.3134	0.9816	1.53	3.084393565	-8.37444424	15.77497637	24.14942061	3.31E-07	no.change
Plants	70-89vs90-09	42	G10	230500	insect_Nhigh	77	12	6.42	128	11	11.64	12	12	12	10.489	9.3424	11.6356	decrease	-12.592	-22.147	-3.037	19.11	12	0.7947	2	10.7	0.9562	2.15	10.489	0.374	1	10.0716	0.4499	0.62	-12.59166667	-27.76328554	8.527625877	36.29091142	5.40E-25	no.change	12.5788	1.0958	2	11.5385	1.3435	1.89	11	0	1	10.55	0.2805	0.65	-12.55127675	-30.13882307	13.49840492	43.63722799	9.11E-20	no.change	12	0.7947	2	10.7	0.9562	2.15	10.489	0.374	1	10.0716	0.4499	0.62	-12.55127675	-30.13882307	13.49840492	43.63722799	9.11E-20	no.change
Plants	70-89vs90-09	42	G10	240520	insect_Nhigh	854	14	61	125	10	12.5	11.526	9.4112	13.6409	10	10	10	no.change	-13.24	6.256	-26.691	32.947	11.526	0.9203	0	11.3696	0.9696	0.49	10	1.7617	3	8.7	0.887	1.75	-13.23963214	-33.05969777	13.40730635	46.46700412	4.17E-25	no.change	14	0	0	13.79	0.1637	0.52	14.4088	6.6997	3	10.2507	2.3953	1.49	2.92	-44.36354087	49.14093901	93.50447987	0.010065201	no.change	13.4448	0.3306	0	13.1973	0.4332	0.47	13.318	4.2006	3	9.9528	2.0505	1.61	-0.943115554	-41.99367834	38.78052692	80.77420527	0.339750501	no.change
Plants	70-89vs90-09	42	G10	60420	insect_Nhigh	1276	17	75.06	515	15	34.33	14.4884	12.1337	16.8431	15	15	15	no.change	3.531	23.623	-10.943	34.566	14.4884	1.1713	2	14.0139	1.0215	1.77	15	1.8605	3	13.54	0.9306	1.85	3.531100743	-15.12556094	29.15366088	44.27922182	0.001653376	no.change	17	0.9718	2	15.97	0.9481	1.55	17.8208	3.4846	3	14.9552	1.8466	1.63	4.828235294	-22.4208676	33.94870035	56.36956795	3.83E-06	no.change	14.4884	1.1713	2	14.0139	1.0215	1.77	15	1.8605	3	13.54	0.9306	1.85	4.828235294	-22.4208676	33.94870035	56.36956795	3.83E-06	no.change
Plants	70-89vs90-09	42	G10	210460	insect_Nhigh	224	13	17.23	1053	17	61.94	13	13	13	14.2978	11.8897	16.7059	no.change	9.983	-8.541	28.507	37.048	13	1.3166	2	12.05	0.5189	1.03	14.2978	0.8585	0	14.0445	0.9795	0.64	9.983076923	-6.937977053	29.06873423	36.00671128	3.02E-20	no.change	14.951	3.4718	2	12.8445	1.4207	1.33	17	0	0	16.73	0.3527	0.67	13.70476891	-6.302178133	50.6857739	56.98795204	1.04E-22	no.change	14.7305	2.7764	2	12.7865	1.3464	1.14	16.7103	0.1719	0	16.2415	0.511	0.66	13.4401412	-6.983881585	44.71410001	51.6979816	6.37E-23	no.change
Plants	70-89vs90-09	42	G10	160390	insect_Nhigh	43	6	7.17	599	9	66.56	6	6	6	4.7383	2.74	6.7367	no.change	-21.028	-54.333	12.278	66.611	6	0.4899	1	5.35	0.5017	1.07	4.7383	1.0819	0	4.676	1.1083	0.82	-21.02833333	-60.05152258	25.11410201	85.16562459	1.57E-19	no.change	6.25	0.7289	1	5.8108	1.0564	0.95	9	0	0	8.72	0.3742	0.77	44	4.148763771	119.0480844	114.8993206	1.56E-49	increase	6.2499	0.7284	1	6.0554	1.2194	1.11	6.6747	0.7536	0	6.3901	0.865	0.84	6.796908751	-29.64854999	88.91886438	118.5674144	0.092022561	no.change
Plants	70-89vs90-09	42	G10	240560	insect_Nhigh	1631	16	101.94	784	12	65.33	15.8018	14.9779	16.6257	12	12	12	decrease	-24.059	-19.882	-27.823	7.941	15.8018	0.1374	0	15.5971	0.2468	0.14	12	0	0	11.7	0.1999	0.64	-24.05928439	-27.46638308	-20.16403875	7.302344334	5.96E-177	decrease	16	0	0	15.92	0.0238	0.28	12	0	0	11.9389	0.3968	0.63	-25	-30.28866947	-20.19926457	10.08940491	9.17E-108	decrease	15.8018	0.1374	0	15.5971	0.2468	0.14	12	0	0	11.7	0.1999	0.64	-25	-30.28866947	-20.19926457	10.08940491	9.17E-108	decrease
Plants	70-89vs90-09	42	G10	90420	insect_Nhigh	1777	16	111.06	775	12	64.58	14.2802	12.3601	16.2002	12	12	12	decrease	-15.968	-2.913	-25.927	23.014	14.2802	1.41	2	13.7726	0.7617	1.19	12	0.9608	2	10.92	0.6764	1.19	-15.96756348	-29.08957727	-1.019308002	28.07026927	6.37E-50	decrease	16	1.3333	2	15.1	0.5712	1.27	12.9249	1.6299	2	11.4495	0.9955	1.28	-19.219375	-33.96293744	-3.919124789	30.04381265	9.04E-55	decrease	14.2802	1.41	2	13.7726	0.7617	1.19	12	0.9608	2	10.92	0.6764	1.19	-19.219375	-33.96293744	-3.919124789	30.04381265	9.04E-55	decrease
Plants	70-89vs90-09	42	G10	230470	insect_Nhigh	89	8	11.12	226	11	20.55	8	8	8	10.0565	8.4882	11.6248	increase	25.706	6.103	45.31	39.207	8	0	1	7.62	0.03	0.4	10.0565	0.4563	0	9.6548	0.6666	0.57	25.70625	7.467608525	43.64133888	36.17373036	1.75E-48	increase	8	0	1	7.6882	0.0889	0.43	11	0	0	10.67	0.26	0.65	37.5	30.01403429	44.94073161	14.92669732	1.35E-122	increase	8	0	1	7.62	0.03	0.4	10.0565	0.4563	0	9.6548	0.6666	0.57	37.5	30.01403429	44.94073161	14.92669732	1.35E-122	increase
Plants	70-89vs90-09	42	G10	240430	insect_Nhigh	177	9	19.67	666	15	44.4	9	9	9	11.0649	8.9364	13.1935	no.change	22.943	-0.707	46.594	47.301	9	0	1	8.68	0	0.41	11.0649	2.2305	5	10.859	1.3276	1.75	22.94333333	-4.800714305	53.87784997	58.67856427	3.45E-33	no.change	9	0	1	8.61	0	0.44	15	2.4495	5	13.17	1.0406	1.87	66.66666667	42.6564261	92.5681773	49.9117512	2.79E-70	increase	9	0	1	8.6749	0.0127	0.39	13.9862	2.3137	5	12.6446	1.0424	1.88	55.40222222	32.143672	80.17937651	48.03570451	5.21E-64	increase
Plants	70-89vs90-09	42	G10	200500	insect_Nhigh	243	12	20.25	530	18	29.44	12	12	12	16.2121	14.1958	18.2284	increase	35.101	18.298	51.903	33.605	12	1.3093	2	11.16	0.6346	1.28	16.2121	1.4132	2	15.5211	0.9612	1.32	35.10083333	15.02833657	60.06097158	45.03263501	3.10E-84	increase	13.3876	2.1503	2	11.5213	0.9089	1.45	18	1.3416	2	17.04	0.7726	1.42	34.4527772	13.91662569	63.09617919	49.17955351	1.32E-86	increase	12	1.3093	2	11.16	0.6346	1.28	16.2121	1.4132	2	15.5211	0.9612	1.32	34.4527772	13.91662569	63.09617919	49.17955351	1.32E-86	increase
Plants	70-89vs90-09	42	G10	130460	insect_Nhigh	1488	13	114.46	628	16	39.25	12.147	10.6123	13.6817	16	16	16	increase	31.72	50.768	16.945	33.823	12.147	0.4267	0	11.8467	0.6569	0.62	16	1.1711	3	14.36	1.096	2.19	31.7197662	9.609721167	57.97997661	48.37025545	4.16E-64	increase	13	0	0	12.76	0.2634	0.59	17.4035	2.0307	3	15.7392	2.1593	2.42	33.87307692	-0.580230782	71.45306299	72.03329377	1.42E-35	no.change	12.147	0.4267	0	11.8467	0.6569	0.62	16	1.1711	3	14.36	1.096	2.19	33.87307692	-0.580230782	71.45306299	72.03329377	1.42E-35	no.change
Plants	70-89vs90-09	42	G10	110450	insect_Nhigh	5231	17	307.71	3204	14	228.86	15.815	14.1361	17.4939	14	14	14	decrease	-11.476	-0.963	-19.972	19.009	15.815	1.6048	3	15.3113	0.7598	1.15	14	0	1	13.68	0.0949	0.42	-11.47644641	-19.64198101	-1.488611357	18.15336965	3.46E-39	decrease	17	1.5969	3	15.93	0.6232	1	14	0	1	13.7463	0.1768	0.39	-17.64705882	-23.73681622	-10.54690386	13.18991236	1.61E-73	decrease	15.815	1.6048	3	15.3113	0.7598	1.15	14	0	1	13.68	0.0949	0.42	-17.64705882	-23.73681622	-10.54690386	13.18991236	1.61E-73	decrease
Plants	70-89vs90-09	42	G10	190410	insect_Nhigh	588	15	39.2	388	17	22.82	14.0832	12.4965	15.6699	17	17	17	increase	20.711	36.038	8.488	27.55	14.0832	1.0141	2	13.4743	0.7465	1.45	17	1.174	3	15.36	1.0853	2.22	20.711202	0.65345783	45.03278508	44.37932725	4.43E-45	increase	15	0.9682	2	13.98	0.6446	1.23	17.9664	1.5361	3	16.1311	1.3333	2.11	19.776	-0.958136484	43.18260052	44.140737	2.41E-38	no.change	14.0832	1.0141	2	13.4743	0.7465	1.45	17	1.174	3	15.36	1.0853	2.22	19.776	-0.958136484	43.18260052	44.140737	2.41E-38	no.change
Plants	70-89vs90-09	42	G10	110440	insect_Nhigh	5466	14	390.43	2236	14	159.71	13.3563	12.296	14.4165	14	14	14	no.change	4.819	13.858	-2.889	16.747	13.3563	0.567	1	13.1759	0.3478	0.34	14	0.4956	1	13.38	0.5132	0.99	4.8194485	-3.99146457	15.15671607	19.14818064	1.59E-17	no.change	14	0	1	13.62	0	0.45	14.2492	0.7239	1	13.7892	0.8192	1	1.78	-9.841294498	14.81132808	24.65262258	0.024961421	no.change	13.3563	0.567	1	13.1759	0.3478	0.34	14	0.4956	1	13.38	0.5132	0.99	1.78	-9.841294498	14.81132808	24.65262258	0.024961421	no.change
