Group	Time	min.rec	spat.scale	cell	trait.g	pre.rec	pre.sps	pre.ratio	post.rec	post.sps	post.ratio	pre.raref	pre.95.low	pre.95.up	post.raref	post.95.low	post.95.up	status.change	perc.change	perc.95low	perc.95up	change.CI.span	pre.Mao.tau_int	pre.Mao.SD_int	pre.singletons	pre.tau.mean_int	pre.tauSD.mean_int	pre.singletons.mean_int	post.Mao.tau_int	post.Mao.SD_int	post.singletons	post.tau.mean_int	post.tauSD.mean_int	post.singletons.mean_int	Change.Mao_int	Change.Mao_int_CIlow	Change.Mao_int_CIup	Change.Mao_int_CIspan	Int_Pvalue	status.change.Mao_int	pre.Mao.tau_extr	pre.Mao.SD_extr	pre.singletons	pre.tau.mean_extr	pre.tauSD.mean_extr	pre.singletons.mean_extr	post.Mao.tau_extr	post.Mao.SD_extr	post.singletons	post.tau.mean_extr	post.tauSD.mean_extr	post.singletons.mean_extr	Change.Mao_extr	Change.Mao_extr_CIlow	Change.Mao_extr_CIup	Change.Mao_extr_CIspan	Extr_Pvalue	status.change.Mao_extr	pre.Mao.tau_extr_3x	pre.Mao.SD_extr_3x	pre.singletons	pre.tau.mean_extr_3x	pre.tauSD.mean_extr_3x	pre.singletons.mean_extr_3x	post.Mao.tau_extr_3x	post.Mao.SD_extr_3x	post.singletons	post.tau.mean_extr_3x	post.tauSD.mean_extr_3x	post.singletons.mean_extr_3x	Change.Mao_extr_3x	Change.Mao_extr_3x_CIlow	Change.Mao_extr_3x_CIup	Change.Mao_extr_3x_CIspan	Extr.3x_Pvalue	status.change.Mao_extr_3x
Plants	30-49vs50-69	30	G10	240440	insect_Nlow	180	22	8.18	246	17	14.47	22	22	22	16.1736	14.6503	17.6969	decrease	-26.484	-33.408	-19.56	13.848	22	2.2062	5	19.71	1.3235	3.23	16.1736	1.5761	3	15.4059	0.7718	1.5	-26.48363636	-37.47488971	-12.84996565	24.62492406	1.19E-65	decrease	23.592	2.3943	5	20.3294	1.4679	3.24	17	1.5969	3	15.79	0.656	1.43	-27.94167514	-37.88416036	-15.61597126	22.2681891	1.01E-66	decrease	22	2.2062	5	19.71	1.3235	3.23	16.1736	1.5761	3	15.4059	0.7718	1.5	-27.94167514	-37.88416036	-15.61597126	22.2681891	1.01E-66	decrease
Plants	30-49vs50-69	30	G10	200490	insect_Nlow	37	22	1.68	112	13	8.62	22	22	22	7.8651	5.3289	10.4013	decrease	-64.25	-75.778	-52.721	23.057	22	3.4046	14	16.46	2.03	6.28	7.8651	2.1021	7	7.5184	1.3535	3.01	-64.24954545	-77.60827306	-46.20344641	31.40482665	3.54E-92	decrease	38.8757	9.0644	14	22.5301	4.84	6.36	13	2.9143	7	10.28	1.3907	2.58	-66.56008766	-79.29243145	-40.60809293	38.68433851	3.37E-53	decrease	38.7562	8.9771	14	22.2623	4.5868	6.89	12.9375	2.9004	7	10.2746	1.3773	2.93	-66.61824431	-79.59207817	-40.9682554	38.62382277	2.00E-56	decrease
Plants	30-49vs50-69	30	G10	160440	insect_Nlow	99	31	3.19	126	26	4.85	31	31	31	24.9599	23.198	26.7219	decrease	-19.484	-25.168	-13.8	11.368	31	3.9882	14	25.44	2.1626	6.79	24.9599	1.5419	4	22.8772	1.2737	3.1	-19.48419355	-33.74747106	0.275265911	34.02273697	7.00E-49	no.change	34.6109	3.935	14	26.6583	2.0999	6.25	26	1.5552	4	23.93	1.2851	3.46	-24.87915657	-37.92585857	-8.924902415	29.00095615	6.57E-59	decrease	31	3.9882	14	25.44	2.1626	6.79	24.9599	1.5419	4	22.8772	1.2737	3.1	-24.87915657	-37.92585857	-8.924902415	29.00095615	6.57E-59	decrease
Plants	30-49vs50-69	30	G10	140420	insect_Nlow	31	9	3.44	90	12	7.5	9	9	9	9.6606	7.627	11.6943	no.change	7.34	-15.256	29.937	45.193	9	1.3416	3	7.75	1.0503	1.9	9.6606	1.3345	2	9.1656	0.8912	1.3	7.34	-19.36817301	50.76897707	70.13715008	4.84E-07	no.change	11.0818	2.867	3	9.2338	2.1391	1.83	12	1.3093	2	11.11	0.5744	1.27	8.285657565	-26.29337854	104.2205958	130.5139744	0.010846265	no.change	9	1.3416	3	7.75	1.0503	1.9	9.6606	1.3345	2	9.1656	0.8912	1.3	8.285657565	-26.29337854	104.2205958	130.5139744	0.010846265	no.change
Plants	30-49vs50-69	30	G10	200430	insect_Nlow	78	20	3.9	126	17	7.41	20	20	20	14.9013	12.6199	17.1827	decrease	-25.493	-36.901	-14.086	22.815	20	3.5082	8	16.53	1.5579	4.06	14.9013	1.4698	4	13.552	1.25	2.81	-25.4935	-43.66307188	-2.01148158	41.6515903	1.62E-52	decrease	24.5699	4.1186	8	18.2771	1.9311	4.05	17	1.5183	4	14.98	1.2629	3.05	-30.8096492	-47.36766735	-9.68960794	37.67805941	7.14E-53	decrease	20	3.5082	8	16.53	1.5579	4.06	14.9013	1.4698	4	13.552	1.25	2.81	-30.8096492	-47.36766735	-9.68960794	37.67805941	7.14E-53	decrease
Plants	30-49vs50-69	30	G10	190310	insect_Nlow	136	21	6.48	492	20	24.6	21	21	21	14.0197	11.199	16.8404	decrease	-33.24	-46.671	-19.808	26.863	21	2.51	6	18.43	1.4291	3.41	14.0197	2.2597	6	13.6712	1.6609	2.87	-33.23952381	-50.98380661	-12.61531231	38.3684943	4.90E-86	decrease	28.4351	6.7642	6	20.7505	3.1423	3.3	20	2.4914	6	17.61	1.4023	2.79	-29.66439365	-49.12730784	3.669464041	52.79677188	3.72E-39	no.change	27.6354	5.7766	6	21.0294	2.9493	3.28	18.9131	2.3808	6	16.9715	1.5701	3.05	-31.56205447	-50.02980967	-2.00187257	48.0279371	3.96E-50	decrease
Plants	30-49vs50-69	30	G10	250480	insect_Nlow	159	20	7.95	62	18	3.44	17.5409	15.2849	19.7969	18	18	18	no.change	2.617	17.763	-9.077	26.84	17.5409	1.4537	2	16.8733	1.1209	1.46	18	3.2213	7	15.32	1.4452	3.24	2.61731154	-19.39483659	28.69925899	48.09409558	0.101893341	no.change	20	1.3484	2	18.93	0.7057	1.57	26.8474	6.0797	7	16.8848	2.2637	3.21	34.237	-0.96263645	70.96583774	71.92847419	4.42E-38	no.change	17.5409	1.4537	2	16.8733	1.1209	1.46	18	3.2213	7	15.32	1.4452	3.24	34.237	-0.96263645	70.96583774	71.92847419	4.42E-38	no.change
Plants	30-49vs50-69	30	G10	170430	insect_Nlow	49	11	4.45	83	17	4.88	11	11	11	14.9129	12.6815	17.1443	increase	35.572	15.286	55.857	40.571	11	2.1521	4	9.33	1.0349	2.03	14.9129	1.0852	3	13.5344	1.2577	2.57	35.57181818	2.124750707	84.63426977	82.50951906	2.27E-53	increase	13.3553	2.7225	4	10.3554	1.4997	2.04	17	1.0272	3	15.32	1.0769	2.81	27.29028925	-4.177773467	87.488369	91.66614247	2.00E-38	no.change	11	2.1521	4	9.33	1.0349	2.03	14.9129	1.0852	3	13.5344	1.2577	2.57	27.29028925	-4.177773467	87.488369	91.66614247	2.00E-38	no.change
Plants	30-49vs50-69	30	G10	260490	insect_Nlow	75	20	3.75	38	11	3.45	15.7984	13.0209	18.5759	11	11	11	decrease	-30.373	-15.52	-40.783	25.263	15.7984	1.9176	6	14.2151	1.4053	3.7	11	2.1521	4	9.31	1.0162	2.14	-30.37269597	-49.21321506	-8.476268508	40.73694655	1.80E-62	decrease	20	2.1483	6	17.38	1.4365	3.61	14.0993	3.1669	4	10.2297	1.4734	2.11	-29.5035	-49.69515848	-5.194226474	44.50093201	5.42E-58	decrease	15.7984	1.9176	6	14.2151	1.4053	3.7	11	2.1521	4	9.31	1.0162	2.14	-29.5035	-49.69515848	-5.194226474	44.50093201	5.42E-58	decrease
Plants	30-49vs50-69	30	G10	200510	insect_Nlow	30	11	2.73	108	18	6	11	11	11	13.0059	10.2926	15.7192	no.change	18.235	-6.431	42.902	49.333	11	1.1489	3	9.57	1.1288	2.05	13.0059	1.731	3	12.2323	1.2585	1.96	18.23545455	-14.21839872	65.58253903	79.80093775	1.08E-17	no.change	12.4931	2.2587	3	11.0054	2.1528	2.07	18	1.8974	3	16.58	1.0242	2.05	44.0795319	2.371303221	144.4032855	142.0319823	9.06E-49	increase	12.4761	2.199	3	10.5955	1.7404	2.22	17.4574	1.8585	3	16.3111	1.0532	1.8	39.92673993	1.004229899	111.0698029	110.065573	3.62E-32	increase
